reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,day_diff,helpful_yes,total_vote,processed_text
A3SBTW3WS4IQSN,B007WTAJTO,,"[0, 0]",No issues.,4,Four Stars,1406073600,23-07-2014,138,0,0,issue
A18K1ODH1I2MVB,B007WTAJTO,0mie,"[0, 0]","Purchased this for my device, it worked as advertised. You can never have too much phone memory, since I download a lot of stuff this was a no brainer for me.",5,MOAR SPACE!!!,1382659200,25-10-2013,409,0,0,purchase device work advertise never much phone memory since download lot stuff brainer
A2FII3I2MBMUIA,B007WTAJTO,1K3,"[0, 0]",it works as expected. I should have sprung for the higher capacity.  I think its made a bit cheesier than the earlier versions; the paint looks not as clean as before,4,nothing to really say....,1356220800,23-12-2012,715,0,0,work expect spring high capacity think make bite cheesy early version paint look clean
A3H99DFEG68SR,B007WTAJTO,1m2,"[0, 0]","This think has worked out great.Had a diff. bran 64gb card and if went south after 3 months.This one has held up pretty well since I had my S3, now on my Note3.*** update 3/21/14I've had this for a few months and have had ZERO issue's since it was transferred from my S3 to my Note3 and into a note2. This card is reliable and solid!Cheers!",5,Great buy at this price!!!  *** UPDATE,1384992000,21-11-2013,382,0,0,think work greathad diff bran card go south monthsthis one hold pretty well since note update month zero issue since transfer note note card reliable solidcheers
A375ZM4U047O79,B007WTAJTO,2&amp;1/2Men,"[0, 0]","Bought it with Retail Packaging, arrived legit, in a orange envelope, english version not asian like the picture shows. arrived quickly, bought a 32 and 16 both retail packaging for my htc one sv and Lg Optimus, both cards in working order, probably best price you'll get for a nice sd card",5,best deal around,1373673600,13-07-2013,513,0,0,buy retail package arrive legit orange envelope english version asian like picture show arrive quickly buy retail package htc one optimus card work order probably best price get nice card
A2IDCSC6NVONIZ,B007WTAJTO,2Cents!,"[0, 0]",It's mini storage.  It doesn't do anything else and it's not supposed to.  I purchased it to add additional storage to my Microsoft Surface Pro tablet which only come in 64 and 128 GB.  It does what it's supposed to and SanDisk has a long standing reputation that speaks for itself.,5,Not a lot to really be said,1367193600,29-04-2013,588,0,0,mini storage anything else suppose purchase add additional storage microsoft surface pro tablet come suppose sandisk long stand reputation speak
A26YHXZD5UFPVQ,B007WTAJTO,2K1Toaster,"[0, 0]",I have it in my phone and it never skips a beat. File transfers are speedy and have not had any corruption issues or memory fade issues as I would expect from the Sandisk brand. Great card to own. Why entrust your precious files to a slightly cheaper piece of crap? If you lose everything can you forgive yourself for not spending the extra couple bucks on a trusted product that goes through good QA?,5,Works well,1382140800,19-10-2013,415,0,0,phone never skip beat file transfer speedy corruption issue memory fade issue would expect sandisk brand great card entrust precious file slightly cheap piece crap lose everything forgive spend extra couple buck trust product go good
A3CW0ZLUO5X2B1,B007WTAJTO,"35-year Technology Consumer ""8-tracks to 802.11""","[0, 0]",It's hard to believe how affordable digital has become. 32 GB in a device one quarter the sie of postage stamp would have been science fiction less than a generation ago.I picked this up for portable music when I didn't want to schlep (or risk) a phone or iPod. Works great with all SD card readers.Select with confidence.,5,32 GB for less than two sawbucks...what's not to like?,1404950400,07-10-2014,62,0,0,hard believe affordable digital become device one quarter sie postage stamp would science fiction less generation agoi pick portable music want schlep risk phone ipod work great card readersselect confidence
A2CYJO155QP33S,B007WTAJTO,4evryoung,"[1, 1]","Works in a HTC Rezound.  Was running short of space on a 64GB Sandisk so I ordered this when it came out, fast and no issues.",5,Loads of room,1395619200,24-03-2014,259,1,1,work htc rezound run short space sandisk order come fast issue
A2S7XG3ZC4VGOQ,B007WTAJTO,53rdcard,"[0, 0]","in my galaxy s4, super fast card, and am totally happy, not happy having to still type to fill the required words though",5,works great,1381449600,10-11-2013,393,0,0,galaxy super fast card totally happy happy still type fill require word though
A1RTQROTWR5NCB,B007WTAJTO,808TREX50,"[0, 0]","I like this SD Card because it can take music video downloads, personal videos, files,docs, and multimedia images with a fast transfer rate of Class 10 speed. It can take games with large files very easily and still have enough space for apps. It&#34;s great for video cameras and camcorders with the supplied adapter. Fits very easily into smartphones and tablets SD Card slots. I recommend this 32GB SD Card to everyone.",5,32GB MicroSD Card.,1368230400,05-11-2013,398,0,0,like card take music video download personal video filesdocs multimedia image fast transfer rate class speed take game large file easily still enough space apps great video camera camcorder supply adapter fit easily smartphones tablet card slot recommend card everyone
A2Q3ICGWZLY3JJ,B007WTAJTO,98020,"[0, 0]","It works, but file writes are a bit slower than expected on a USB3 reader.Also, both reads and writes are FASTER with the card inside the standard-size SD adapter (15 MB/s vs 10 write; 45 MB/s vs 22 MB/s read) on the same card reader.  Can't figure why...",3,"It works, but not as fast as expected",1384905600,20-11-2013,383,0,0,work file write bite slow expect usb readeralso read write fast card inside standardsize adapter mb write mb mb read card reader figure
AN2VFTXYW1SZU,B007WTAJTO,9z4cda,"[0, 0]",THE NAME OF ITSELF SPEAKS OUT. GO SANDISK GO!,5,A RENOUND NAME BRAND,1404432000,07-04-2014,245,0,0,name speak sandisk
AVHN134ADVP4R,B007WTAJTO,"A4Q96 ""Gadget Lover""","[0, 0]","Solid SDHC card that is fast (at reading and writing) fast (for recording video and pics), has great capacity, and is reasonably priced. I have had no issues with it.Overall, highly recommend.",5,Great SDHC card,1384992000,21-11-2013,382,0,0,solid sdhc card fast read write fast record video pic great capacity reasonably price issue itoverall highly recommend
A3EA7KGYC8LB0,B007WTAJTO,"Aaron ""Aaron""","[0, 0]","Heard that the card's write speed is insufficient, however I have used it extensively and haven't had a single problem with it!!",5,Use it for my GoPro Hero 3+ Black,1392595200,17-02-2014,294,0,0,hear card write speed insufficient however use extensively single problem
A29RI184HRX66H,B007WTAJTO,"Aaron ""Aaron""","[0, 0]","I bought this to use with my go pro hero 3 black edition. It requires a class 10 MicroSDXC card. So far I've had no issues with it. Fast read/write, came with adapter, small packaging, but that's all it needed! Comes with a nice hard plastic case to keep both dry and together if needed.",5,"Awesome price, great brand name",1357257600,01-04-2013,616,0,0,buy use pro hero black edition require class microsdxc card far issue fast readwrite come adapter small package need come nice hard plastic case keep dry together need
A2G9ZHVA6IOGBY,B007WTAJTO,Aaron Alvarez,"[0, 0]",got this because i had a 2 GB one that filled up. i kept getting the insufficient disk space on my phone. my kids take my phone and do selfies. mostly my daughter. I had to get a bigger card. the 2GB one was a carry over from an old phone.needless to say this was sweet. plenty of space. and i dont have to delete pictures anymore. well for now at least.my daughter loves selfies.,5,great price. fast,1393718400,03-02-2014,308,0,0,get one fill keep get insufficient disk space phone kid take phone selfies mostly daughter get big card one carry old phoneneedless say sweet plenty space delete picture anymore well leastmy daughter love selfies
A1OATGH4DF0RF0,B007WTAJTO,Aaron F. Virginie,"[0, 1]","Class 10 Speed Rating for Seamless Full HD VideoThe SanDisk Ultra UHS-I card features a Class 10 and UHS Speed Class 1 (U1) rating, the highest video performance available for recording uninterrupted Full HD** video.Flawless App PerformanceThis card can retrieve stored data almost instantly, thanks to its up to 30MB/s read capability and fast bus interface. The SanDisk Ultra microSDHC and microSDXC UHS-I cards offer faster app loading and smoother, more fluid app performance.Storage Capacities Up to 64GBThis card has plenty of room to accommodate Full HD videos, MP3s, apps, and other memory-intensive mobile files. Available in sizes up to 64GB, it can store all the apps, music, and video you want.Android App for Easy File ManagementThe included SanDisk Memory Zone app lets you easily view, access, and backup all of your digital files from your phone's memory, additional memory card, and cloud service all in one convenient place. Using the app, you can easily move files from your card to a number of cloud storage services.Durable DesignSanDisk Ultra UHS-I memory cards can capture memories from -13 to 185 degrees Fahrenheit with a shockproof, waterproof, and X-ray-proof design. Your mobile device may not survive, but your SanDisk memory card will.",5,Get Fast Load Times,1372896000,07-04-2013,610,0,1,class speed rat seamless full videothe sandisk ultra uhsi card feature class uhs speed class rat high video performance available record uninterrupted full videoflawless app performancethis card retrieve store data almost instantly thank mb read capability fast bus interface sandisk ultra microsdhc microsdxc uhsi card offer fast app load smooth fluid app performancestorage capacity gbthis card plenty room accommodate full video mp apps memoryintensive mobile file available size store apps music video wantandroid app easy file managementthe include sandisk memory zone app let easily view access backup digital file phone memory additional memory card cloud service one convenient place use app easily move file card number cloud storage servicesdurable designsandisk ultra uhsi memory card capture memory degree fahrenheit shockproof waterproof xrayproof design mobile device may survive sandisk memory card
A1V6CQACZ9IOLC,B007WTAJTO,Aaron Graves,"[0, 0]",The read and write speeds are better than the Samsung SD card that I had previously. I would not hesitate to buy another one of these great Micro SD cards from SanDisk. I also own their Clip plus MP3 player and it works very well. I think I'm becoming a fan of the SanDisk products.,5,Very good little Micro SD card,1398988800,05-02-2014,306,0,0,read write speed good samsung card previously would hesitate buy another one great micro card sandisk also clip plus player work well think become fan sandisk product
A2ELBSIZ26GKM2,B007WTAJTO,Aaron,"[0, 0]",This works with the NL1520.  No video stuttering like with the 64gb.  Blah blah blah blah to fill in the rest.,5,works,1389052800,01-07-2014,160,0,0,work video stutter like blah blah blah blah fill rest
A6AL9BZ0JALUP,B007WTAJTO,Aaron,"[0, 0]",Works as expected.  High transfer speed.  Nice to have extra microSD adapters lying around since I always seem to misplace them.  Mainly bought it to use in my Nikon DSLR since I can put the card directly into my (CM modded) Nook HD+ tablet in the field and view my images on a larger screen.,5,Works,1382832000,27-10-2013,407,0,0,work expect high transfer speed nice extra microsd adapter lie around since always seem misplace mainly buy use nikon dslr since put card directly modded nook tablet field view image large screen
A80SHWURCS1KD,B007WTAJTO,Aaron,"[0, 0]","Works great in a Samsung Galaxy S3.  Formatted straight away, full size there.  I can't really tell the speed difference between this one and a slower card it replaced.  I guess the IO in the phone can't take advantage.",5,Good with Galaxy S3,1388275200,29-12-2013,344,0,0,work great samsung galaxy format straight away full size really tell speed difference one slow card replace guess phone take advantage
ATSVUBE2115N1,B007WTAJTO,Aaron Madden,"[0, 0]",SanDisk never disappoints. As always SanDisk products are worth every penny. Nice product and quality and works great. I recommend this product to everyone.,5,Never disappoints,1383609600,11-05-2013,576,0,0,sandisk never disappoint always sandisk product worth every penny nice product quality work great recommend product everyone
A3R54B4AFAV3PD,B007WTAJTO,aaron mckaig,"[0, 0]","Good price, works flawless in my Samsung S4! Normal SanDisk quality! That is why I go with this brand and only this brand..",5,Great,1396569600,04-04-2014,248,0,0,good price work flawless samsung normal sandisk quality brand brand
A243XIFG20QRQW,B007WTAJTO,Aaron Nash,"[0, 0]",San disk is hard to beat.  You will pay more for the brand but you get a quality product.  Would purchase again.,5,Perfect,1395532800,23-03-2014,260,0,0,san disk hard beat pay brand get quality product would purchase
A9DQ4Q5LPUCYJ,B007WTAJTO,Aaron Smith,"[0, 0]",Installed in my Blackberry Q10 SQN100-1 and formatted. Works just fine. Plenty of storage space for pictures and videos of my son at the park.,5,It does the job.,1390867200,28-01-2014,314,0,0,instal blackberry sqn format work fine plenty storage space picture video son park
A1U9QJQW3XPRL2,B007WTAJTO,Aaron T. Swain,"[1, 2]","I just received my card, it is the class 10 64GB with the correct serial#SDSDQUA-064G-A11A. I received it in an unopened SanDisk packaging. I am going to use it on my HTC Rezound, I hope it works. From what I have read, it will work after reformatting the disk. I will update this review if I have any issues using it, if not, my rating will remain unchanged...",5,64 GB,1343260800,26-07-2012,865,1,2,receive card class correct serialsdsdquagaa receive unopened sandisk package go use htc rezound hope work read work reformatting disk update review issue use rat remain unchanged
A3PIINTTBEA5C3,B007WTAJTO,A. Atkinson,"[0, 0]","Stuck it in my S2, formatted in settings, works great! Already filled with music, pics and videos...  Get this card, format it right, and you'll have no problems.  If your phone won't do it right, should have got a Samsung! haha...",5,Perfect and Fast in my S2!!,1353456000,21-11-2012,747,0,0,stick format setting work great already fill music pic video get card format right problem phone right get samsung haha
A2U4VW7FAB7W9A,B007WTAJTO,ABailey8833,"[1, 1]","I purchased two of these one for my Samsung tablet and one for my samsung galaxy note. Great hardware that is truly speedy, responsive and meets my needs!",5,Great product!,1356652800,28-12-2012,710,1,1,purchase two one samsung tablet one samsung galaxy note great hardware truly speedy responsive meet need
ADAVEDQ2BK3XE,B007WTAJTO,abbadon,"[0, 0]","As advertised, specs match.  As long as the device you as using it in can handle it (i.e. USB 3.0, not some crapple bs) it delivers the advertised speed.  P.S. The speed is READ, not WRITE, but you knew that, right?",5,Works.,1382659200,25-10-2013,409,0,0,advertise spec match long device use handle usb crapple deliver advertise speed speed read write know right
